C T T T T T T T T T T T T T T T T T T T T T T T D
G G G G G G G G G G G G G G G K K K K K K K K K G 
G G G G G G G G G G G G G G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G Z Z Z Z Z Z Z Z Z Z Z G G K K K K K K K K K G 
G G G G G G G G G G G G G G G G G G G G G G G G G 
G G G G G G G G G G G G G G G G G G G G G G G G G 
G G G G G G G G G G G G G G G G G G G G G G G G G 
G G G G G G G G G G G G G G G T T T T T T T X X X 
G G G G G G G G G G G G G G G X X X X X X X X X X 
G G G G G G G G G G G G G G G X X X X X X X X X X
G G G G G G G G G G G G G G G X X X X X X X X X X
G G G G G G G G G G G G G G G X X X X X X X X X X
G G G G G G G G G G G G G G G X X X X X X X X X X
G G G G G G G G G G G G G G G X X X X X X X X X X 
