C T T T T T T T T T T T T T T T T T T T T T T T D
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R 
L K K K K K K K K K K K K K K K K K K K K K K K R
L K K K K K K K K K K K K K K K K K K K K K K K R
L K K K K K K K K K K K K K K K K K K K K K K K R
L K K K K K K K K K K K K K K K K K K K K K K K R
E B B B B B B B B B B B B B B B B B B B B B B B F
