Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y
V Y K K K K K K K K K K K K K K K K K K K K K K V
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V 
Y V K K K K K K K K K K K K K K K K K K K K K K R 
V Y K K K K K K K K K K K K K K K K K K K K K K V
Y V K K K K K K K K K K K K K K K K K K K K K K R
V Y K K K K K K K K K K K K K K K K K K K K K K V
Y V K K K K K K K K K K K K K K K K K K K K K K R
V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V Y V
